feature,final_decision,decision_reason,recommendation,missing_percentage,constant_feature,unique_count,phishing_effect,phishing_effect_category,phishing_p_holm,phishing_significant,source_effect,source_effect_category,source_p_holm,source_significant,high_correlation_flag,four_group_effect
personalisation_indicator,remove,Constant feature with no variation.,remove_constant,0.0,True,1,0.0,,,,0.0,,,,False,0.0
greeting_present,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,2,0.472,large,3.7833609108164016e-269,True,0.47,large,5.590569600315112e-267,True,False,0.9214181098082737
unique_word_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,348,0.40993225,large,3.4812984458180743e-110,True,0.1236457500000001,medium,8.899906807939301e-11,True,True,0.2427939359610564
url_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,30,0.34280625,large,4.7350940004344025e-96,True,0.2963645,large,3.423843021112028e-72,True,True,0.261805117027313
character_entropy,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,3220,0.3315595,large,2.664899131898784e-72,True,0.7588524999999999,large,0.0,True,False,0.519717141000153
financial_keyword_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,28,0.313454,large,9.362584907933619e-82,True,0.1072612499999999,medium,2.2850045221488807e-10,True,False,0.1503177330746473
suspicious_link_indicator,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,2,0.2895000000000001,large,1.670990197087128e-80,True,0.4955,large,8.594522882773841e-235,True,True,0.4087503589377178
character_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,1426,0.2765534999999999,large,1.702159751417411e-50,True,0.3526095,large,6.971462559121474e-82,True,True,0.1927573952425317
call_to_action_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,25,0.27362175,large,1.0856782810218094e-52,True,0.120299,medium,8.102460731279443e-11,True,False,0.0840100554704052
word_count,retain_phishing,Statistically significant phishing-class difference with non-negligible effect.,retain_phishing_candidate,0.0,False,532,0.27252425,large,4.518159822055632e-49,True,0.3152034999999999,large,1.169327437954424e-65,True,True,0.180183153936578
